project_id,tenant_id,academic_session_id,person_id,rank,contacted_timestamp,registered_timestamp,suitability
4379,ug4      ,8,3577,0,2020-03-18 10:57:46+00,2020-03-18 09:44:16+00,2
4441,ug4      ,8,3577,2,2020-03-09 12:54:36+00,2020-03-02 17:24:58+00,2
4440,ug4      ,8,3577,4,2020-03-09 12:53:32+00,2020-03-02 17:24:59+00,1
4544,ug4      ,8,3577,3,2020-03-04 13:21:05+00,2020-03-02 17:43:29+00,1
4546,ug4      ,8,3577,5,2020-03-04 16:04:46+00,2020-03-02 17:43:31+00,2
4386,ug4      ,8,3577,1,                      ,2020-03-03 11:00:53+00,2
4597,ug4      ,8,3595,1,                      ,                      ,1
4421,ug4      ,8,3595,0,2020-03-10 18:24:27+00,2020-02-27 10:33:46+00,2
4451,ug4      ,8,3595,4,2020-03-18 13:09:50+00,2020-03-03 15:21:41+00,1
4606,ug4      ,8,3595,2,2020-03-26 15:00:13+00,2020-03-19 22:57:13+00,2
4410,ug4      ,8,3595,3,2020-03-25 08:13:13+00,2020-03-24 21:05:18+00,1
4408,ug4      ,8,3595,5,2020-03-23 13:40:02+00,2020-03-03 15:19:11+00,1
4501,ug4      ,8,5024,1,2020-03-03 12:25:25+00,2020-02-29 12:24:58+00,1
4410,ug4      ,8,5024,4,2020-03-02 08:33:00+00,2020-02-29 12:40:12+00,1
4398,ug4      ,8,5024,5,2020-02-29 16:49:03+00,2020-02-29 12:41:07+00,2
4523,ug4      ,8,5024,2,                      ,2020-02-24 21:55:49+00,2
4564,ug4      ,8,5024,0,                      ,                      ,1
4486,ug4      ,8,5024,3,2020-03-04 12:26:01+00,2020-02-24 21:57:22+00,1
4596,ug4      ,8,5061,5,                      ,                       |,
4598,ug4      ,8,5061,6,                      ,                       |,
4431,ug4      ,8,5061,3,2020-03-25 10:33:28+00,2020-03-11 15:19:15+00,2
4408,ug4      ,8,5061,2,                      ,2020-03-25 08:35:32+00,1
4410,ug4      ,8,5061,4,2020-03-25 08:41:00+00,2020-03-25 08:35:36+00,2
4401,ug4      ,8,5061,1,2020-03-17 10:28:51+00,2020-03-11 15:18:54+00,2
4378,ug4      ,8,5061,0,2020-03-17 00:17:50+00,2020-03-11 15:19:08+00,2
4484,ug4      ,8,5061,7,2020-03-11 18:09:59+00,2020-03-11 15:19:12+00,0
4447,ug4      ,8,5090,4,2020-03-27 12:55:10+00,2020-03-26 13:11:12+00,1
4498,ug4      ,8,5090,1,                      ,2020-03-26 12:51:25+00,1
4571,ug4      ,8,5090,14,                      ,2020-03-04 22:04:20+00,0
4466,ug4      ,8,5090,13,2020-03-26 02:21:24+00,2020-03-24 11:28:35+00,0
4392,ug4      ,8,5090,5,                      ,2020-03-27 10:12:45+00 |,
4536,ug4      ,8,5090,15,                      ,2020-03-04 21:59:40+00,0
4474,ug4      ,8,5090,16,                      ,2020-03-04 22:08:09+00,0
4444,ug4      ,8,5090,3,2020-03-27 12:54:20+00,2020-03-26 13:07:51+00,1
4467,ug4      ,8,5090,12,2020-03-26 02:27:03+00,2020-03-21 23:44:53+00,0
4554,ug4      ,8,5090,7,                      ,2020-03-26 12:04:42+00,0
4513,ug4      ,8,5090,0,2020-03-26 14:46:34+00,2020-03-26 12:36:26+00,1
4487,ug4      ,8,5090,8,2020-03-27 11:41:39+00,2020-03-26 12:30:37+00,0
4544,ug4      ,8,5090,9,                      ,2020-03-26 12:17:37+00,0
4468,ug4      ,8,5090,10,2020-03-25 06:01:41+00,2020-03-21 23:50:57+00,0
4403,ug4      ,8,5090,11,                      ,2020-03-26 13:28:55+00,0
4507,ug4      ,8,5090,6,                      ,2020-03-26 12:12:47+00,0
4477,ug4      ,8,5090,2,2020-03-26 17:28:04+00,2020-03-26 13:42:10+00,1
4451,ug4      ,8,5096,12,2020-03-11 19:56:13+00,2020-03-11 10:36:45+00,1
4580,ug4      ,8,5096,8,                      ,2020-03-03 10:28:39+00,1
